Symbol,Security,ICB Industry[15],ICB Subsector[15],YahooSymbol
ISRG,Intuitive Surgical,Health Care,Industrial Specialties,ISRG
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,KDP
KLAC,KLA Corporation,Technology,Electronic Components,KLAC
KHC,Kraft Heinz,Consumer Staples,Packaged Foods,KHC
LRCX,Lam Research,Technology,Industrial Machinery,LRCX
LIN,Linde plc,Basic Materials,Major Chemicals,LIN
LITE,Lumentum,Technology,Communication Equipment,LITE
MAR,Marriott International,Consumer Discretionary,Hotels/Resorts,MAR
MRVL,Marvell Technology,Technology,Semiconductors,MRVL
MELI,Mercado Libre,Consumer Discretionary,Catalog/Specialty Distribution,MELI
META,Meta Platforms,Technology,Computer Software,META
MCHP,Microchip Technology,Technology,Semiconductors,MCHP
MU,Micron Technology,Technology,Semiconductors,MU
MSFT,Microsoft,Technology,Computer Software,MSFT
MSTR,MicroStrategy,Technology,Computer Software,MSTR
MDLZ,Mondelez International,Consumer Staples,Packaged Foods,MDLZ
MPWR,Monolithic Power Systems,Technology,Semiconductors,MPWR
MNST,Monster Beverage,Consumer Staples,Soft Drinks,MNST
NFLX,"Netflix, Inc.",Consumer Discretionary,Consumer Electronics,NFLX
NVDA,Nvidia,Technology,Semiconductors,NVDA
NXPI,NXP Semiconductors,Technology,Semiconductors,NXPI
ORLY,O'Reilly Automotive,Consumer Discretionary,Auto & Home Supply Stores,ORLY
ODFL,Old Dominion Freight Line,Industrials,Trucking Freight/Courier Services,ODFL
PCAR,Paccar,Consumer Discretionary,Motor Vehicles,PCAR
PLTR,Palantir Technologies,Technology,Computer Software,PLTR
PANW,Palo Alto Networks,Technology,Computer Peripheral Equipment,PANW
PAYX,Paychex,Industrials,Diversified Commercial Services,PAYX
PYPL,PayPal,Industrials,Diversified Commercial Services,PYPL
PDD,PDD Holdings,Technology,EDP Services,PDD
PEP,PepsiCo,Consumer Staples,Soft Drinks,PEP
QCOM,Qualcomm,Technology,Broadcasting & Communications Equipment,QCOM
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,REGN
ROP,Roper Technologies,Technology,Computer Software,ROP
ROST,Ross Stores,Consumer Discretionary,Clothing/Shoe/Accessory Stores,ROST
SNDK,Sandisk,Technology,Electronic Components,SNDK
STX,Seagate Technology,Technology,Electronic Components,STX
SHOP,Shopify,Technology,Computer Software,SHOP
SBUX,Starbucks,Consumer Discretionary,Restaurants,SBUX
SNPS,Synopsys,Technology,Computer Software,SNPS
TMUS,T-Mobile US,Telecommunications,Telecommunications Service Providers,TMUS
TTWO,Take-Two Interactive,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,TTWO
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobiles & Parts,TSLA
TXN,Texas Instruments,Technology,Semiconductors,TXN
TRI,Thomson Reuters,Technology,Computer Software,TRI
VRSK,Verisk Analytics,Industrials,Diversified Commercial Services,VRSK
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,VRTX
WMT,Walmart,Consumer Discretionary,Department/Specialty Retail Stores,WMT
WBD,Warner Bros. Discovery,Consumer Discretionary,Miscellaneous Amusement & Recreation Services,WBD
WDC,Western Digital,Technology,Electronic Components,WDC
WDAY,"Workday, Inc.",Technology,EDP Services,WDAY
XEL,Xcel Energy,Utilities,Power Generation,XEL
